Player_Name,DOB,Batting_Hand,Bowling_Skill,Country
tm dilshan,1976-10-14,Right_Hand,Right-arm offbreak,Sri Lanka
tm head,1993-12-29,Left_Hand,Right-arm offbreak,Australia
tm srivastava,1989-11-07,Left_Hand,Right-arm medium,India
tp sudhindra,1984-04-24,Left_Hand,Right-arm fast,India
tr birt,1981-12-09,Left_Hand,Right-arm medium,Australia
u kaul,1987-12-02,Left_Hand,,India
ua birla,1989-11-17,Right_Hand,Right-arm medium,India
ubt chand,1993-03-26,Right_Hand,Right-arm offbreak,India
umar gul,1984-04-14,Right_Hand,Right-arm fast-medium,Pakistan
ut khawaja,1986-12-18,Left_Hand,Right-arm medium,Australia
ut yadav,1987-10-25,Right_Hand,Right-arm fast-medium,India
v kohli,1988-11-05,Right_Hand,Right-arm medium,India
v pratap singh,1992-05-03,Right_Hand,Right-arm medium,India
v sehwag,1978-10-20,Right_Hand,Right-arm offbreak,India
v shankar,1991-01-26,Right_Hand,Right-arm medium,India
vh zol,1994-11-23,Left_Hand,Right-arm offbreak,India
vr aaron,1989-10-29,Right_Hand,Right-arm fast,India
vrv singh,1984-09-17,Right_Hand,Right-arm medium-fast,India
vs malik,1983-05-09,Right_Hand,Right-arm medium,India
vs yeligati,1985-04-23,Right_Hand,Right-arm offbreak,India
vvs laxman,1974-11-01,Right_Hand,Right-arm offbreak,India
vy mahesh,1987-12-21,Right_Hand,Right-arm medium-fast,India
w jaffer,1978-02-16,Right_Hand,Right-arm offbreak,India
wa mota,1981-09-20,Right_Hand,Right-arm medium,India
wd parnell,1989-07-30,Left_Hand,Left-arm medium-fast,South Africa
wp saha,1984-10-24,Right_Hand,,India
wpujc vaas,1974-01-27,Left_Hand,Left-arm fast-medium,Sri Lanka
x thalaivan sargunam,1985-05-15,Right_Hand,Right-arm offbreak,India
y gnaneswara rao,1984-08-25,Right_Hand,Right-arm medium,India
y nagar,1990-01-06,Right_Hand,Right-arm offbreak,India
y venugopal rao,1982-02-26,Right_Hand,Right-arm offbreak,India
ya abdulla,1983-01-17,Left_Hand,Left-arm fast-medium,India
yashpal singh,1981-11-27,Right_Hand,Right-arm medium,India
yk pathan,1982-11-17,Right_Hand,Right-arm offbreak,India
younis khan,1977-11-29,Right_Hand,Right-arm medium,Pakistan
ys chahal,1990-07-23,Right_Hand,Legbreak googly,India
yuvraj singh,1981-12-12,Left_Hand,Slow left-arm orthodox,India
yv takawale,1984-11-05,Right_Hand,,India
z khan,1978-10-07,Right_Hand,Left-arm fast-medium,India
